iter	Passed	Remaining
172	370	1772
173	372	1769
174	374	1767
175	377	1765
176	379	1763
177	381	1760
178	383	1758
179	385	1756
180	387	1753
181	389	1750
182	391	1748
183	393	1746
184	395	1744
185	398	1742
186	400	1739
187	402	1737
188	404	1734
189	406	1731
190	408	1729
191	410	1726
192	412	1725
193	414	1723
194	417	1721
195	419	1719
196	421	1716
197	423	1714
198	425	1712
199	427	1709
200	429	1707
201	431	1705
202	433	1702
203	435	1700
204	437	1698
205	440	1696
206	442	1696
207	444	1693
208	446	1691
209	448	1688
210	451	1686
211	453	1685
212	455	1683
213	457	1680
214	459	1678
215	462	1677
216	464	1674
217	466	1672
218	468	1670
219	470	1668
220	472	1666
221	474	1664
222	477	1662
223	479	1659
224	481	1657
225	483	1655
226	485	1653
227	487	1651
228	489	1648
229	491	1646
230	494	1644
231	496	1642
232	498	1640
233	500	1638
234	502	1636
235	504	1634
236	507	1633
237	509	1630
238	511	1628
239	513	1626
240	515	1624
241	517	1622
242	519	1619
243	522	1617
244	524	1615
245	526	1614
246	529	1612
247	531	1611
248	533	1608
249	535	1606
250	537	1604
251	539	1601
252	541	1599
253	543	1597
254	545	1594
255	548	1592
256	550	1591
257	552	1589
258	554	1587
259	556	1584
260	558	1582
261	561	1580
262	563	1578
263	565	1576
264	567	1574
265	569	1572
266	571	1570
267	574	1568
268	576	1565
269	578	1563
270	580	1561
271	582	1559
272	584	1556
273	586	1554
274	588	1552
275	590	1549
276	592	1547
277	595	1545
278	597	1544
279	599	1542
280	601	1540
281	604	1537
282	606	1535
283	608	1533
284	610	1531
285	612	1529
286	614	1526
287	616	1524
288	618	1522
289	621	1520
290	623	1518
291	625	1516
292	627	1514
293	629	1512
294	631	1509
295	634	1507
296	636	1505
297	638	1503
298	640	1501
299	642	1499
300	644	1497
301	646	1495
302	649	1493
303	651	1490
304	653	1488
305	655	1486
306	657	1484
307	660	1483
308	662	1480
309	664	1478
310	666	1476
311	668	1474
312	670	1471
313	672	1469
314	674	1467
315	676	1465
316	678	1462
317	681	1460
318	683	1458
319	685	1457
320	687	1454
321	689	1452
322	691	1450
323	694	1448
324	696	1446
325	698	1443
326	700	1441
327	702	1439
328	704	1437
329	706	1435
330	709	1433
331	711	1430
332	713	1428
333	715	1426
334	717	1424
335	719	1421
336	721	1419
337	723	1417
338	725	1415
339	727	1413
340	730	1410
341	732	1409
342	734	1407
343	737	1406
344	739	1404
345	742	1402
346	744	1401
347	746	1399
348	749	1397
349	751	1395
350	753	1393
351	755	1391
352	758	1390
353	760	1388
354	763	1386
355	765	1384
356	767	1381
357	769	1379
358	771	1377
359	773	1375
360	775	1373
361	777	1370
362	779	1368
363	781	1366
364	784	1364
365	786	1361
366	788	1359
367	790	1357
368	792	1355
369	794	1353
370	796	1351
371	799	1348
372	801	1346
373	803	1344
374	805	1342
375	807	1340
376	809	1338
377	811	1335
378	813	1333
379	815	1331
380	818	1329
381	820	1327
382	822	1324
383	824	1322
384	826	1320
385	828	1318
386	831	1316
387	833	1314
388	835	1312
389	837	1309
390	839	1307
391	841	1305
392	843	1303
393	845	1300
394	847	1298
395	850	1296
396	852	1294
397	854	1292
398	856	1290
399	858	1288
400	861	1286
401	863	1283
402	865	1281
403	867	1279
404	869	1277
405	871	1275
406	873	1272
407	875	1271
408	878	1269
409	880	1266
410	882	1264
411	884	1262
412	886	1260
413	888	1258
414	891	1256
415	893	1254
416	895	1251
417	897	1249
418	899	1247
419	901	1245
420	904	1243
421	906	1241
422	908	1239
423	910	1237
424	912	1234
425	914	1232
426	917	1231
427	919	1229
428	922	1227
429	924	1225
430	926	1222
431	928	1220
432	930	1218
433	932	1216
434	934	1214
435	936	1211
436	939	1209
437	941	1207
438	943	1205
439	945	1203
440	947	1201
441	949	1198
442	951	1196
443	953	1194
444	955	1192
445	958	1190
446	960	1187
447	962	1185
448	964	1183
449	966	1181
450	968	1179
451	970	1177
452	973	1174
453	975	1172
454	977	1170
